iter	RMSE
0	4.031250796
1	3.087509672
2	2.494514981
3	2.139806785
4	1.935338251
5	1.787085778
6	1.695693842
7	1.642553074
8	1.613103627
9	1.585793388
10	1.569048473
11	1.557890688
12	1.546270403
13	1.539710837
14	1.534860164
15	1.52833096
16	1.523539048
17	1.516934776
18	1.515311432
19	1.512176859
20	1.511339798
21	1.505496204
22	1.50525507
23	1.499474704
24	1.496059166
25	1.493788335
26	1.490767157
27	1.488282539
28	1.481660427
29	1.479595883
30	1.476140779
31	1.474938656
32	1.467977807
33	1.46651732
34	1.463153205
35	1.460930289
36	1.459958822
37	1.456637853
38	1.454934789
39	1.45224116
40	1.449559581
41	1.447060342
42	1.445871047
43	1.443747629
44	1.440255079
45	1.437644951
46	1.436510232
47	1.433247191
48	1.432050436
49	1.430562304
50	1.429375139
51	1.429363039
52	1.427018496
53	1.426124448
54	1.423875164
55	1.422285595
56	1.419023987
57	1.416663082
58	1.415409651
59	1.41361452
60	1.41072561
61	1.408866813
62	1.406895464
63	1.405331916
64	1.404770421
65	1.402716091
66	1.401827789
67	1.400546281
68	1.397635541
69	1.396803323
70	1.39676372
71	1.395121109
72	1.393446183
73	1.393446049
74	1.393446138
75	1.393445959
76	1.391310426
77	1.389930733
78	1.388043639
79	1.388043594
80	1.388043594
81	1.387570317
82	1.387570092
83	1.386748762
84	1.386748807
85	1.386748717
86	1.386748672
87	1.386748537
88	1.386347147
89	1.385504004
90	1.384324561
91	1.382735853
92	1.381244358
93	1.380356123
94	1.379385257
95	1.378612447
96	1.37728835
97	1.376427637
98	1.375940836
99	1.374153983
100	1.373514969
101	1.372106007
102	1.370705936
103	1.370361355
104	1.369482156
105	1.368876856
106	1.368245143
107	1.367195399
108	1.367195399
109	1.366290537
110	1.365574555
111	1.365349453
112	1.364837063
113	1.362967905
114	1.361783708
115	1.361382891
116	1.361007968
117	1.360465169
118	1.359993588
119	1.359993037
120	1.359261841
121	1.358239676
122	1.358061172
123	1.35806108
124	1.357391768
125	1.356327547
126	1.355308697
127	1.354599309
128	1.354221862
129	1.354220894
130	1.353698849
131	1.352920643
132	1.352190702
133	1.351376422
134	1.350619436
135	1.350618973
136	1.350420876
137	1.349661504
138	1.349340839
139	1.349060918
140	1.348503958
141	1.34772113
142	1.346743427
143	1.346537805
144	1.345762138
145	1.345457713
146	1.345166355
147	1.344599934
148	1.344215174
149	1.343489008
150	1.343185277
151	1.342510641
152	1.341901179
153	1.341475805
154	1.341473943
155	1.341004111
156	1.340491218
157	1.340485629
158	1.34031445
159	1.340310118
160	1.339732649
161	1.339141038
162	1.338587086
163	1.337603781
164	1.337530123
165	1.337185538
166	1.33718395
167	1.336602422
168	1.336601347
169	1.336601207
170	1.336600834
171	1.336597377
172	1.335825566
173	1.335333642
174	1.334629776
175	1.334619531
176	1.334618736
177	1.334129174
178	1.33377374
179	1.333474257
180	1.332352695
181	1.331948788
182	1.331310432
183	1.331102895
184	1.330838466
185	1.33047671
186	1.330221075
187	1.330221122
188	1.330221028
189	1.330221215
190	1.330220934
191	1.330220793
192	1.329854173
193	1.329854033
194	1.329210161
195	1.329210068
196	1.329209974
197	1.328957571
198	1.328957618
199	1.328477861
200	1.328123735
201	1.328123547
202	1.328123547
203	1.327389754
204	1.327389801
205	1.327389612
206	1.327386367
207	1.327386273
208	1.327386226
209	1.327386132
210	1.326973749
211	1.326233906
212	1.32531276
213	1.325143108
214	1.324844125
215	1.324537862
216	1.324159673
217	1.323206839
218	1.322803915
219	1.322107924
220	1.322107924
221	1.322104901
222	1.321701547
223	1.321541257
224	1.321540974
225	1.321477476
226	1.321084469
227	1.321081256
228	1.320329551
229	1.320266468
230	1.320261597
231	1.320261456
232	1.31950725
233	1.319044361
234	1.318504364
235	1.317860823
236	1.317610985
237	1.317608047
238	1.317423327
239	1.317069689
240	1.316642789
241	1.316094122
242	1.316092604
243	1.316092129
244	1.315163833
245	1.314876921
246	1.314793395
247	1.314586954
248	1.314422995
249	1.313792946
250	1.313177478
251	1.312878433
252	1.312552207
253	1.312056315
254	1.312055839
255	1.312055411
256	1.312054745
257	1.311841876
258	1.311841876
259	1.311242538
260	1.310915476
261	1.310352356
262	1.310349973
263	1.310194537
264	1.310178478
265	1.310177382
266	1.310071443
267	1.309870312
268	1.309679304
269	1.309516303
270	1.309515684
271	1.309372403
272	1.309372165
273	1.309372022
274	1.309297348
275	1.308924677
276	1.30862905
277	1.308570842
278	1.308456613
279	1.308240201
280	1.307809942
281	1.307422043
282	1.306628077
283	1.306627504
284	1.306625688
285	1.306625497
286	1.305103855
287	1.304948512
288	1.304279086
289	1.303872851
290	1.303864711
291	1.303014002
292	1.302927224
293	1.302621321
294	1.302409499
295	1.301726969
296	1.301560334
297	1.301315907
298	1.301132617
299	1.30111419
300	1.30101332
301	1.300792549
302	1.300635731
303	1.300634675
304	1.300048612
305	1.300048228
306	1.299882867
307	1.299882819
308	1.29972983
309	1.299729638
310	1.299100682
311	1.298672683
312	1.298336492
313	1.298168459
314	1.297821842
315	1.297534512
316	1.297528738
317	1.297528112
318	1.297089775
319	1.296926396
320	1.296834492
321	1.296824093
322	1.296817112
323	1.296587296
324	1.296587248
325	1.29655301
326	1.296548291
327	1.296285965
328	1.296282112
329	1.296027729
330	1.294989111
331	1.294139033
332	1.294046063
333	1.293906812
334	1.293683525
335	1.293550124
336	1.29354882
337	1.293480425
338	1.293478398
339	1.293477915
340	1.29291734
341	1.292914829
342	1.292839929
343	1.292620274
344	1.29261839
345	1.292618294
346	1.292104556
347	1.291640548
348	1.291635135
349	1.291632379
350	1.291632283
351	1.291624887
352	1.291617781
353	1.291617684
354	1.29160705
355	1.291607147
356	1.291607002
357	1.291532992
358	1.291366976
359	1.291366057
360	1.291365332
361	1.291364945
362	1.291216846
363	1.291207659
364	1.290936316
365	1.290935639
366	1.290933511
367	1.290930126
368	1.290929981
369	1.290929932
370	1.290929932
371	1.290431731
372	1.290425441
373	1.290425248
374	1.290425248
375	1.290219215
376	1.290185776
377	1.289547711
378	1.28953062
379	1.28944826
380	1.289329142
381	1.28932919
382	1.289133783
383	1.288343618
384	1.288343279
385	1.288342164
386	1.288342116
387	1.288342067
388	1.288342067
389	1.288341679
390	1.288032263
391	1.288032021
392	1.288032021
393	1.287499918
394	1.287499627
395	1.287499627
396	1.287499675
397	1.28749953
398	1.28625362
399	1.286253522
400	1.285733891
401	1.285733794
402	1.28573394
403	1.28498109
404	1.284916223
405	1.284625423
406	1.284520098
407	1.284391967
408	1.284188078
409	1.284183216
410	1.284018875
411	1.284015326
412	1.284010415
413	1.283476936
414	1.283017448
415	1.282824583
416	1.282696282
417	1.2819416
418	1.281941308
419	1.28191754
420	1.281642087
421	1.281640772
422	1.280484732
423	1.28043724
424	1.280435631
425	1.280271199
426	1.28027115
427	1.280270711
428	1.280096649
429	1.280096308
430	1.280096405
431	1.280064312
432	1.279991099
433	1.279525674
434	1.279524503
435	1.279524406
436	1.279524357
437	1.279524357
438	1.279524259
439	1.279524308
440	1.279502204
441	1.279502204
442	1.279398702
443	1.279288262
444	1.279273865
445	1.279273816
446	1.279273816
447	1.279273816
448	1.279267569
449	1.279267569
450	1.279267472
451	1.279267472
452	1.27902474
453	1.279023812
454	1.27902391
455	1.27902391
456	1.279023763
457	1.279023763
458	1.279023715
459	1.278320737
460	1.278167561
461	1.277989989
462	1.277989402
463	1.27775752
464	1.277630763
465	1.277470711
466	1.277188921
467	1.277180806
468	1.277180415
469	1.277180513
470	1.277180268
471	1.277180122
472	1.277180073
473	1.277180024
474	1.277180024
475	1.277179975
476	1.276818027
477	1.276816903
478	1.276816854
479	1.276811377
480	1.276811622
481	1.276811524
482	1.276810937
483	1.276555706
484	1.276555315
485	1.276555022
486	1.276555217
487	1.276554924
488	1.27655463
489	1.276554582
490	1.276554533
491	1.276553603
492	1.276111829
493	1.276111682
494	1.276111242
495	1.27609764
496	1.276088589
497	1.276088491
498	1.276088344
499	1.276088246
500	1.276088589
501	1.276088344
502	1.275808794
503	1.275808696
504	1.275806886
505	1.275806396
506	1.275806201
507	1.275806054
508	1.275806103
509	1.275806249
510	1.27522978
511	1.27522929
512	1.274931677
513	1.27438357
514	1.274083849
515	1.273820867
516	1.273595971
517	1.273514688
518	1.272869738
519	1.27286964
520	1.272867678
521	1.272746615
522	1.272746321
523	1.27220056
524	1.272200659
525	1.272200462
526	1.272200462
527	1.271952209
528	1.271635516
529	1.271634485
530	1.271634436
531	1.271275526
532	1.271275428
533	1.271275477
534	1.271234468
535	1.270711053
536	1.27071066
537	1.270710513
538	1.270436905
539	1.270436856
540	1.270435332
541	1.270098893
542	1.269509503
543	1.269506897
544	1.269361117
545	1.269176557
546	1.269175426
547	1.269108521
548	1.269108078
549	1.269062473
550	1.269004123
551	1.268986509
552	1.26897288
553	1.268972733
554	1.26897288
555	1.268962204
556	1.268962056
557	1.268595106
558	1.268594073
559	1.268582015
560	1.268339059
561	1.268338961
562	1.268267236
563	1.268264874
564	1.268259114
565	1.268149082
566	1.268149131
567	1.268149033
568	1.268146128
569	1.268112945
570	1.268107283
571	1.268107479
572	1.268107529
573	1.268107479
574	1.26810743
575	1.267771752
576	1.267771703
577	1.267699503
578	1.267253115
579	1.266806668
580	1.266614687
581	1.266278514
582	1.266265349
583	1.266257756
584	1.265987428
585	1.265978403
586	1.265802573
587	1.265618974
588	1.265403672
589	1.265400416
590	1.265394396
591	1.265390104
592	1.265386156
593	1.265385811
594	1.265385712
595	1.265383295
596	1.265379939
597	1.265295119
598	1.265267832
599	1.26508988
600	1.264983867
601	1.264983472
602	1.264983472
603	1.264983423
604	1.264981054
605	1.264840232
606	1.264826163
607	1.264826114
608	1.264825077
609	1.264637683
610	1.264636054
611	1.2644273
612	1.264231945
613	1.263941869
614	1.263934262
