iter	Passed	Remaining
0	20	40111
1	36	36636
2	50	33878
3	78	39408
4	104	41705
5	131	43678
6	159	45357
7	186	46510
8	214	47550
9	242	48202
10	270	48833
11	297	49248
12	325	49737
13	353	50188
14	380	50313
15	407	50573
16	435	50814
17	465	51295
18	496	51783
19	523	51785
20	549	51774
21	580	52230
22	596	51287
23	625	51536
24	653	51659
25	680	51663
26	707	51716
27	735	51793
28	764	51932
29	790	51888
30	817	51906
31	843	51865
32	872	52024
33	900	52067
34	929	52208
35	959	52352
36	987	52366
37	1014	52368
38	1041	52367
39	1069	52402
40	1096	52404
41	1123	52364
42	1152	52458
43	1183	52602
44	1209	52558
45	1236	52542
46	1263	52489
47	1293	52602
48	1320	52594
49	1349	52615
50	1375	52580
51	1387	51985
52	1415	51981
53	1441	51963
54	1471	52041
55	1500	52073
56	1531	52217
57	1559	52214
58	1586	52187
59	1614	52191
60	1647	52362
61	1675	52358
62	1702	52347
63	1731	52371
64	1758	52349
65	1785	52332
66	1812	52286
67	1840	52281
68	1868	52299
69	1895	52256
70	1912	51961
71	1939	51944
72	1967	51937
73	1977	51469
74	1986	50995
75	1997	50570
76	2024	50572
77	2058	50728
78	2086	50735
79	2096	50325
80	2106	49917
81	2140	50072
82	2155	49780
83	2181	49761
84	2191	49383
85	2202	49013
86	2214	48689
87	2223	48307
88	2250	48315
89	2276	48318
90	2303	48315
91	2331	48346
92	2361	48420
93	2389	48443
94	2416	48450
95	2443	48470
96	2474	48550
97	2501	48554
98	2529	48576
99	2556	48566
100	2582	48564
101	2610	48572
102	2638	48596
103	2665	48588
104	2692	48594
105	2718	48574
106	2758	48795
107	2785	48795
108	2795	48493
109	2822	48497
110	2850	48505
111	2877	48512
112	2905	48521
113	2932	48522
114	2960	48527
115	2986	48508
116	3014	48511
117	3040	48496
118	3066	48463
119	3078	48229
120	3107	48260
121	3138	48307
122	3167	48338
123	3178	48092
124	3205	48088
125	3235	48125
126	3263	48133
127	3291	48142
128	3318	48124
129	3330	47905
130	3357	47896
131	3384	47891
132	3410	47876
133	3436	47859
