iter	RMSE
0	1091.130215
1	1027.417579
2	972.1321621
3	924.0184123
4	881.347497
5	845.3758457
6	814.0712976
7	787.7459223
8	764.8853402
9	746.0523617
10	729.9746366
11	716.2593761
12	704.8771068
13	694.7369544
14	686.5696366
15	679.3474028
16	673.1667689
17	667.8206484
18	663.433795
19	659.4485524
20	655.8745842
21	652.468556
22	648.3039185
23	644.4143348
24	641.4704267
25	638.6280379
26	636.194552
27	633.9619157
28	631.8261388
29	630.1445768
30	628.692433
31	627.2510641
32	626.259919
33	624.9810214
34	623.6083459
35	622.5036673
36	621.5212577
37	620.6550678
38	619.4733877
39	618.570425
40	617.6264905
41	617.0794351
42	616.1103523
43	615.3163702
44	614.1979965
45	613.5833661
46	612.473303
47	611.7785779
48	611.3308801
49	610.4856425
50	609.2899477
51	608.1750252
52	607.5211366
53	607.0031139
54	605.6291517
55	604.8576179
56	603.4554913
57	602.5941022
58	601.949586
59	600.2080966
60	599.4476379
61	599.0086424
62	598.3307826
63	597.5589035
64	596.2010773
65	595.8342061
66	595.2283253
67	594.0219963
68	593.5670744
69	593.1533422
70	592.7575354
71	592.1364733
72	591.4767061
73	590.925168
74	590.5058942
75	589.5276435
76	588.8553089
77	588.3763695
78	587.8757724
79	587.179047
80	586.4846181
81	585.8976905
82	585.4246177
83	584.9105593
84	584.7009866
85	583.7575829
86	583.2198296
87	582.827164
88	582.5312962
89	582.1545399
90	581.3999521
91	580.9115062
92	580.7131593
93	580.2743054
94	579.6718415
95	579.3062861
96	578.8297492
97	578.618424
98	578.2017855
99	577.6218314
100	576.844944
101	576.4758866
102	575.8226557
103	575.6672743
104	575.1651464
105	574.6954049
106	574.4878694
107	573.9476728
108	573.7185775
109	573.322319
110	573.1811604
111	573.1162913
112	572.6103916
113	572.2432509
114	571.552801
115	571.024676
116	570.7270087
117	570.0490536
118	569.9349479
119	569.6504164
120	569.2364658
121	568.8161366
122	568.1765488
123	567.8233291
124	567.6993658
125	567.3050603
126	566.8955306
127	566.6657539
128	566.2968885
129	565.9920613
130	565.4515887
131	565.157235
132	564.9733988
133	564.5760229
134	564.2366765
135	564.0096038
136	563.6101229
137	563.2501963
138	562.7040975
139	562.1045825
140	561.9054648
141	561.5343391
142	561.4289601
143	561.0481594
144	560.7667965
145	560.5882486
146	560.3146131
147	560.1529045
148	559.8391054
149	559.5386754
150	559.1408587
151	558.7199356
152	558.2601725
153	558.1207543
154	557.8952462
155	557.6364629
156	557.4970772
157	557.2198232
158	557.0998041
159	556.8111765
160	556.5477513
161	556.1116746
162	555.6271365
163	555.100644
164	554.8343296
165	554.4793968
166	554.2295375
167	554.016705
168	553.7072958
169	553.5504957
170	553.3084327
171	552.9851571
172	552.6834372
173	552.3353769
174	552.1770828
175	551.8107819
176	551.5566184
177	551.2844319
178	550.8823058
179	550.7585486
180	550.2720534
181	550.0171049
182	549.8202813
183	549.454548
184	549.2637516
185	549.1213623
186	548.9228085
187	548.5432415
188	548.3801934
189	547.929789
190	547.8011406
191	547.5183158
192	547.2012327
193	547.0625622
194	546.9710605
195	546.6470061
196	546.3916712
197	546.1967722
198	545.8728522
199	545.4909761
200	545.1269319
201	544.8396671
202	544.6530546
203	544.2898082
204	543.8303039
205	543.4858106
206	543.4070415
207	543.2184647
208	543.1115633
209	542.8717692
210	542.5030804
211	542.2576244
212	542.0647589
213	541.8623452
214	541.5061843
215	541.2589367
216	541.0961646
217	540.9690235
218	540.6547284
219	540.456158
220	539.9994159
221	539.7438468
222	539.5682154
223	539.2546258
224	538.8366719
225	538.6807437
226	538.3966149
227	538.0825933
228	537.9124202
229	537.6852859
230	537.4461899
231	537.2519451
232	537.110732
233	537.0141828
234	536.7862412
235	536.5608454
236	536.4115064
237	536.190567
238	536.0756079
239	535.9240334
240	535.7117669
241	535.5382599
242	535.2675292
243	535.1510651
244	534.748866
245	534.6753797
246	534.5224668
247	534.4362735
248	534.3615347
249	534.1673465
250	533.8575417
251	533.5038073
252	533.1650543
253	533.1009826
254	532.8493094
255	532.6682216
256	532.3623164
257	532.2175622
258	532.0199693
259	531.7207134
260	531.5787954
261	531.2019742
262	531.0378419
263	530.9532849
264	530.7782477
265	530.6553766
266	530.4867949
267	530.2927211
268	530.1477265
269	530.0020653
270	529.7508188
271	529.5914974
272	529.3612898
273	529.1804493
274	529.0358407
275	528.5633182
276	528.3797659
277	528.2260758
278	528.1568446
279	527.9915859
280	527.806453
281	527.6571505
282	527.4390294
283	527.331231
284	527.1822867
285	526.9099158
286	526.7410049
287	526.6271137
288	526.4368817
289	526.0422923
290	525.6523056
291	525.4917573
292	525.3632387
293	525.1746779
294	524.937753
295	524.6359385
296	524.5340473
297	524.3760214
298	524.2251697
299	524.1744587
300	523.8906891
301	523.7360296
302	523.5505941
303	523.3956006
304	523.1375747
305	522.7704595
306	522.587818
307	522.3425273
308	522.1843008
309	521.7410412
310	521.5897018
311	521.4360997
312	521.2111673
313	520.9196514
314	520.7834507
315	520.5661932
316	520.3940197
317	520.2601232
318	520.1092583
319	519.9801713
320	519.8884794
321	519.7655176
322	519.6679106
323	519.4592817
324	519.2631255
325	519.1015628
326	518.8710891
327	518.788121
328	518.4974748
329	518.4202005
330	518.2181628
331	518.0494919
332	517.7833055
333	517.5905678
334	517.3965641
335	517.3119388
336	517.1944951
337	517.1020153
338	517.0399096
339	516.7533635
340	516.4981443
341	516.1994529
342	516.054071
343	515.9228151
344	515.7705755
345	515.7099976
346	515.5259719
347	515.3754543
348	515.2766751
349	515.0195108
350	514.6187897
351	514.3638216
352	514.2503553
353	514.0600019
354	513.8309841
355	513.5997779
356	513.4463406
357	513.2791805
358	513.0016257
359	512.7846903
360	512.5724664
361	512.2794337
362	512.1778239
363	511.9719694
364	511.7355148
365	511.5431881
366	511.3885458
367	511.334923
368	511.1626978
369	510.9917719
370	510.9326769
371	510.8299147
372	510.7396325
373	510.6699765
374	510.5132389
375	510.3353734
376	510.1910568
377	510.1164345
378	509.7629313
379	509.5755941
380	509.4485131
381	509.322307
382	509.1223162
383	508.9595282
384	508.7386905
385	508.5454572
386	508.3942181
387	508.1975679
388	508.1401766
389	507.97825
390	507.7836148
391	507.5985868
392	507.4540024
393	507.3406115
394	507.1497042
395	507.0316965
396	506.824038
397	506.668972
398	506.5217967
399	506.3377091
400	506.2175282
401	506.0435774
402	505.7988252
403	505.6690165
404	505.4719538
405	505.2217723
406	505.0355907
407	504.9124097
408	504.8760773
409	504.7569775
410	504.5765436
411	504.3713353
412	504.2610493
413	504.113232
414	504.0372661
415	503.9876507
416	503.9338607
417	503.6537675
418	503.4024968
419	503.3301397
420	503.2118967
421	503.0473795
422	502.928505
423	502.7022162
424	502.5200458
425	502.3147126
426	502.1946274
427	502.0264809
428	501.9575381
429	501.8506459
430	501.7428695
431	501.6130952
432	501.4034222
433	501.2806678
434	501.1256539
435	500.9937639
436	500.8599046
437	500.6916348
438	500.5661438
439	500.3494716
440	500.0708853
441	499.9996662
442	499.8678437
443	499.7345404
444	499.5607102
445	499.4492919
446	499.2936236
447	499.026514
448	498.8251233
449	498.6441165
450	498.5462073
451	498.4341933
452	498.2789329
453	498.2031999
454	498.0803404
455	497.9375938
456	497.8256511
457	497.7223131
458	497.6357486
459	497.3722289
460	497.2751355
461	497.19126
462	497.0538077
463	496.8439145
464	496.7827251
465	496.7031415
466	496.4869906
467	496.3917557
468	496.270377
469	496.1095885
470	495.9643985
471	495.7889034
472	495.6018901
473	495.4607375
474	495.3024246
475	495.1341361
476	494.9979832
477	494.8807307
478	494.8026651
479	494.5630795
480	494.3339492
481	494.1058863
482	493.9461636
483	493.8784699
484	493.7687037
485	493.6293881
486	493.511103
487	493.3979246
488	493.21951
489	493.0908294
490	492.8864764
491	492.8251232
492	492.7757744
493	492.5464921
494	492.3781428
495	492.2503824
496	492.0981414
497	492.0412133
498	491.9505708
499	491.828768
500	491.5836481
501	491.4220496
502	491.2975886
503	491.1596624
504	491.0543206
505	490.9422652
506	490.8293225
507	490.721054
508	490.6009366
509	490.4904957
510	490.3409946
511	490.1912165
512	490.0823601
513	490.0063508
514	489.9630714
515	489.7915655
516	489.6972982
517	489.542735
518	489.435151
519	489.3316455
520	489.1867321
521	489.0637576
522	488.9526508
523	488.8214769
524	488.7103147
525	488.5674034
526	488.422104
527	488.2793586
528	488.230423
529	488.1281116
530	488.0246531
531	487.9453074
532	487.8351554
533	487.6958362
534	487.6487902
535	487.5417052
536	487.3710607
537	487.2862513
538	487.1905419
539	487.0861887
540	486.941076
541	486.793101
542	486.6883837
543	486.5493542
544	486.4651997
545	486.3852303
546	486.2714238
547	486.2272471
548	486.0856932
549	485.9931168
550	485.7881006
551	485.6317837
552	485.4826145
553	485.4474478
554	485.333926
555	485.2724758
556	485.1980796
557	484.9741143
558	484.819002
559	484.6912265
560	484.5216896
561	484.4124234
562	484.3046231
563	484.2226581
564	484.0665252
565	483.8955239
566	483.7757485
567	483.6805208
568	483.6022653
569	483.4781816
570	483.4439326
571	483.3558015
572	483.2234189
573	483.1007538
574	483.0267444
575	482.8973186
576	482.7643828
577	482.7277059
578	482.604402
579	482.5470117
580	482.4460366
581	482.3849985
582	482.2977759
583	482.2454977
584	482.2217256
585	482.10316
586	482.0364803
587	481.8869813
588	481.7290857
589	481.665627
590	481.5863973
591	481.4896017
592	481.3758401
593	481.3021988
594	481.1821387
595	481.1026853
596	480.9486371
597	480.8605104
598	480.7760747
599	480.6823286
600	480.5965348
601	480.4531378
602	480.3729898
603	480.3293611
604	480.2022887
605	480.1406319
606	480.070755
607	479.9843437
608	479.875686
609	479.7648515
610	479.7074761
611	479.5527486
612	479.4569909
613	479.3929058
614	479.331291
615	479.2455794
616	479.0992443
617	479.0437411
618	478.9891324
619	478.8727625
620	478.7841596
621	478.6868801
622	478.6531318
623	478.5686495
624	478.4542834
625	478.3389431
626	478.2818464
627	478.1670884
628	478.0437649
629	477.9355431
630	477.8426679
631	477.5972459
632	477.5392225
633	477.4311263
634	477.2475308
635	477.1329081
636	477.0817017
637	476.9667248
638	476.9079232
639	476.8582921
640	476.7285648
641	476.6368412
642	476.5572254
643	476.4817152
644	476.4190932
645	476.3560582
646	476.3017731
647	476.1808745
648	476.07493
649	476.0222494
650	475.9654431
651	475.8691501
652	475.7779396
653	475.6413518
654	475.5351506
655	475.50086
656	475.3719109
657	475.2789918
658	475.2083294
659	475.1257876
660	475.0663706
661	474.9979973
662	474.8675865
663	474.8108203
664	474.725584
665	474.6692655
666	474.5734701
667	474.4256554
668	474.3099472
669	474.1281662
670	473.9759197
671	473.8564923
672	473.741076
673	473.6226222
674	473.5182517
675	473.3769662
676	473.2908698
677	473.209497
678	472.9855197
679	472.9105005
680	472.80804
681	472.6705804
682	472.5931271
683	472.5064744
684	472.3969063
685	472.3334927
686	472.2328679
687	472.1386224
688	471.9922169
689	471.9038967
690	471.8247906
691	471.7646076
692	471.661428
693	471.5880387
694	471.5185481
695	471.3691539
696	471.3348046
697	471.1871601
