iter	Passed	Remaining
400	18677	27899
401	18724	27853
402	18773	27811
403	18823	27769
404	18876	27731
405	18930	27697
406	18970	27640
407	19019	27596
408	19052	27530
409	19080	27457
410	19127	27410
411	19180	27374
412	19225	27324
413	19277	27286
414	19321	27236
415	19365	27186
416	19412	27140
417	19463	27099
418	19512	27057
419	19559	27010
420	19610	26970
421	19653	26918
422	19699	26871
423	19765	26851
424	19809	26801
425	19860	26760
426	19915	26725
427	19967	26685
428	20012	26637
429	20049	26577
430	20095	26529
431	20139	26480
432	20186	26432
433	20243	26400
434	20286	26349
435	20340	26311
436	20385	26263
437	20428	26212
438	20477	26168
439	20511	26106
440	20572	26077
441	20617	26028
442	20657	25973
443	20706	25929
444	20758	25889
445	20804	25841
446	20854	25799
447	20902	25754
448	20953	25713
449	21002	25670
450	21051	25625
451	21095	25576
452	21141	25528
453	21184	25477
454	21233	25433
455	21286	25393
456	21341	25357
457	21391	25314
458	21437	25267
459	21488	25226
460	21543	25188
461	21596	25149
462	21651	25112
463	21707	25076
464	21736	25008
465	21787	24967
466	21817	24900
467	21859	24848
468	21901	24797
469	21947	24748
470	21999	24708
471	22033	24647
472	22088	24610
473	22138	24566
474	22179	24514
475	22223	24464
476	22272	24420
477	22321	24376
478	22351	24311
479	22399	24265
480	22446	24219
481	22497	24177
482	22543	24130
483	22594	24088
484	22639	24040
485	22695	24002
486	22733	23946
487	22785	23905
488	22837	23865
489	22886	23820
490	22912	23752
491	22956	23703
492	23001	23654
493	23055	23615
494	23105	23572
495	23144	23517
496	23195	23475
497	23239	23425
498	23287	23381
499	23332	23332
500	23378	23284
501	23427	23241
502	23465	23185
503	23511	23138
504	23562	23095
505	23612	23052
506	23660	23006
507	23688	22942
508	23737	22898
509	23774	22842
510	23826	22800
511	23877	22757
512	23928	22716
513	23971	22665
514	24019	22620
515	24064	22571
516	24114	22528
517	24165	22486
518	24193	22422
519	24233	22369
520	24283	22325
521	24321	22271
522	24373	22229
523	24424	22186
524	24475	22144
525	24521	22096
526	24570	22053
527	24620	22008
528	24667	21962
529	24715	21917
530	24763	21871
531	24809	21824
532	24857	21779
533	24911	21738
534	24948	21683
535	24988	21631
536	25043	21592
537	25086	21542
538	25132	21495
539	25183	21452
540	25239	21413
541	25294	21374
542	25339	21326
543	25389	21282
544	25438	21237
545	25480	21187
546	25520	21134
547	25549	21073
548	25595	21026
549	25633	20973
550	25683	20929
551	25728	20880
552	25759	20821
553	25791	20763
554	25846	20723
555	25894	20678
556	25937	20629
557	25986	20584
558	26034	20538
559	26098	20505
560	26132	20449
561	26192	20413
562	26247	20373
563	26296	20328
564	26356	20292
565	26420	20258
566	26469	20214
567	26526	20174
568	26570	20126
569	26625	20085
570	26674	20040
571	26724	19996
572	26780	19956
573	26833	19914
574	26884	19870
575	26941	19832
576	26986	19783
577	27026	19732
578	27070	19683
579	27108	19630
580	27159	19586
581	27190	19528
582	27235	19480
583	27278	19431
584	27322	19382
585	27362	19331
586	27398	19276
587	27446	19231
588	27492	19184
589	27543	19140
590	27587	19091
591	27638	19048
592	27686	19002
593	27728	18952
594	27782	18910
595	27826	18862
596	27880	18820
