iter	Passed	Remaining
0	62	62742
1	121	60716
2	176	58672
3	227	56550
4	281	56043
5	332	55061
6	384	54526
7	433	53760
8	485	53427
9	542	53681
10	595	53522
11	646	53267
12	700	53157
13	754	53111
14	806	52975
15	856	52688
16	910	52626
17	965	52685
18	1016	52482
19	1068	52362
20	1116	52049
21	1172	52143
22	1215	51631
23	1257	51124
24	1300	50705
25	1340	50205
26	1385	49925
27	1426	49519
28	1465	49052
29	1510	48835
30	1552	48515
31	1591	48132
32	1639	48032
33	1686	47929
34	1729	47697
35	1778	47626
36	1823	47448
37	1878	47566
38	1929	47555
39	1975	47401
40	2015	47150
41	2058	46950
42	2106	46873
43	2151	46738
44	2201	46727
45	2249	46645
46	2300	46653
47	2344	46504
48	2392	46435
49	2436	46285
50	2476	46088
51	2529	46110
52	2577	46046
53	2631	46096
54	2673	45940
55	2723	45905
56	2768	45806
57	2817	45763
58	2862	45649
59	2910	45590
60	2954	45474
61	3007	45503
62	3055	45451
63	3110	45484
64	3154	45374
65	3203	45339
66	3248	45242
67	3294	45149
68	3336	45018
69	3390	45042
70	3436	44967
71	3487	44945
72	3526	44780
73	3579	44786
74	3635	44831
75	3681	44761
76	3725	44662
77	3775	44623
78	3826	44613
79	3872	44531
80	3922	44504
81	3972	44468
82	4015	44361
83	4063	44311
84	4111	44260
85	4154	44156
86	4206	44142
87	4247	44024
88	4287	43889
89	4335	43838
90	4382	43775
91	4432	43750
92	4482	43713
93	4528	43644
94	4579	43626
95	4633	43627
96	4673	43504
97	4720	43445
98	4772	43432
99	4825	43426
100	4872	43372
101	4921	43328
102	4983	43403
103	5022	43272
104	5069	43210
105	5124	43220
106	5172	43168
107	5230	43201
108	5272	43098
109	5322	43063
110	5360	42934
111	5413	42919
112	5469	42931
113	5516	42877
114	5564	42825
115	5614	42783
116	5665	42757
117	5719	42752
118	5774	42748
119	5821	42688
120	5866	42616
121	5914	42568
122	5972	42582
123	6017	42511
124	6073	42515
125	6124	42485
126	6162	42359
127	6211	42315
128	6262	42281
129	6308	42217
130	6358	42180
131	6413	42170
132	6461	42123
133	6514	42103
134	6561	42042
135	6607	41973
136	6647	41876
137	6689	41783
138	6732	41702
139	6777	41633
140	6823	41569
141	6868	41499
142	6911	41417
143	6965	41408
144	7012	41349
145	7062	41311
146	7109	41257
147	7156	41200
148	7201	41128
149	7258	41133
150	7309	41098
151	7361	41069
152	7413	41040
153	7451	40936
154	7503	40903
155	7556	40882
156	7604	40830
157	7646	40746
158	7674	40590
159	7721	40536
160	7766	40473
161	7803	40367
162	7852	40324
163	7897	40260
164	7944	40202
165	7974	40067
166	8024	40027
167	8075	39993
168	8121	39935
169	8169	39885
170	8216	39830
171	8255	39739
172	8294	39651
173	8327	39529
174	8366	39442
175	8401	39336
176	8454	39312
177	8489	39204
178	8538	39164
179	8587	39120
180	8637	39083
181	8692	39070
182	8735	38999
183	8778	38930
184	8828	38893
185	8879	38861
186	8911	38745
187	8944	38631
188	8970	38493
189	9022	38464
190	9065	38399
191	9107	38327
192	9142	38229
193	9202	38233
194	9243	38158
195	9286	38093
196	9335	38052
197	9382	38004
198	9426	37942
199	9455	37822
200	9507	37791
201	9566	37792
202	9614	37747
203	9659	37692
204	9684	37557
205	9721	37469
206	9772	37438
207	9822	37401
208	9865	37337
209	9911	37286
210	9959	37241
211	9996	37157
212	10048	37127
213	10099	37092
214	10145	37041
215	10173	36925
216	10219	36876
217	10261	36808
218	10319	36802
219	10375	36784
220	10419	36728
221	10463	36669
222	10515	36638
223	10564	36598
224	10611	36551
225	10663	36519
226	10715	36488
227	10762	36442
228	10814	36409
229	10864	36372
230	10916	36341
231	10959	36278
232	11009	36241
233	11058	36200
234	11096	36123
235	11149	36094
236	11198	36053
237	11255	36035
238	11304	35995
239	11349	35940
240	11400	35903
241	11441	35837
242	11482	35769
243	11520	35695
244	11567	35645
245	11610	35586
246	11661	35550
247	11714	35520
248	11753	35448
249	11799	35399
250	11844	35345
251	11887	35285
252	11941	35258
253	11989	35214
254	12014	35102
255	12062	35057
256	12110	35012
257	12168	34995
258	12220	34963
259	12248	34859
260	12288	34793
261	12337	34753
262	12384	34705
263	12433	34661
264	12487	34636
265	12535	34589
266	12583	34544
267	12627	34489
268	12669	34430
269	12721	34395
270	12764	34336
271	12803	34268
272	12850	34220
273	12899	34178
274	12949	34139
275	12990	34075
276	13040	34038
277	13093	34004
278	13141	33959
279	13192	33923
280	13234	33862
281	13285	33826
282	13335	33786
283	13385	33747
284	13429	33691
285	13483	33660
286	13533	33620
287	13575	33561
288	13617	33500
289	13682	33499
290	13741	33480
291	13791	33440
292	13838	33393
293	13892	33360
294	13934	33302
295	13988	33269
296	14042	33237
297	14079	33166
298	14127	33121
299	14174	33074
300	14213	33007
301	14252	32942
302	14298	32890
303	14345	32844
304	14387	32784
305	14438	32746
306	14498	32726
307	14544	32677
308	14584	32614
309	14608	32515
310	14665	32489
311	14716	32451
312	14752	32379
313	14801	32337
314	14855	32304
315	14894	32239
316	14945	32201
317	14991	32152
318	15039	32106
319	15078	32041
320	15124	31992
321	15175	31953
322	15219	31900
323	15270	31860
324	15317	31812
325	15363	31763
326	15413	31723
327	15451	31657
328	15504	31620
329	15547	31566
330	15591	31512
331	15634	31457
332	15690	31428
333	15743	31393
334	15790	31345
335	15836	31295
336	15888	31259
337	15936	31212
338	15983	31166
339	16033	31123
340	16074	31065
341	16119	31013
342	16169	30971
343	16219	30929
344	16262	30874
345	16312	30833
346	16342	30753
347	16395	30717
348	16429	30647
349	16482	30611
350	16531	30566
351	16574	30512
352	16610	30443
353	16662	30407
354	16712	30365
355	16765	30329
356	16810	30277
357	16857	30230
358	16905	30185
359	16964	30159
360	17015	30118
361	17063	30073
362	17109	30024
363	17153	29971
364	17178	29885
365	17226	29841
366	17274	29795
367	17319	29743
368	17371	29706
369	17426	29672
370	17476	29630
371	17523	29581
372	17568	29531
373	17609	29475
374	17656	29427
375	17705	29383
376	17758	29346
377	17794	29281
378	17833	29220
379	17877	29168
380	17928	29127
381	17980	29088
382	18030	29045
383	18078	29000
384	18124	28952
385	18171	28905
386	18219	28859
387	18268	28815
388	18319	28775
389	18370	28733
390	18423	28694
391	18462	28636
392	18493	28564
393	18544	28522
394	18585	28467
395	18637	28426
396	18686	28382
397	18734	28337
398	18777	28284
399	18833	28250
400	18884	28209
401	18934	28166
402	18982	28120
403	19030	28074
404	19077	28027
405	19133	27993
406	19176	27940
407	19219	27887
408	19269	27843
409	19321	27804
410	19378	27771
411	19426	27725
412	19481	27689
413	19527	27640
414	19564	27579
415	19618	27540
416	19676	27508
417	19726	27465
418	19774	27419
419	19811	27358
420	19864	27320
421	19913	27274
422	19958	27224
423	20010	27183
424	20062	27143
425	20111	27098
426	20157	27049
427	20190	26984
428	20242	26943
429	20287	26892
430	20334	26845
431	20396	26817
432	20449	26777
433	20492	26725
434	20543	26682
435	20580	26622
436	20630	26578
437	20681	26536
438	20735	26497
439	20784	26452
440	20844	26421
441	20896	26380
442	20945	26335
443	20989	26284
444	21033	26233
445	21058	26158
446	21097	26100
447	21139	26046
448	21186	25999
449	21225	25942
450	21269	25891
451	21320	25848
452	21372	25807
453	21424	25766
454	21466	25712
455	21515	25667
456	21554	25610
457	21606	25569
458	21662	25532
459	21723	25502
460	21765	25448
461	21819	25408
462	21877	25374
463	21934	25338
464	21993	25303
465	22055	25274
466	22100	25223
467	22158	25188
468	22202	25137
469	22245	25085
470	22304	25051
471	22352	25004
472	22399	24956
473	22459	24923
474	22510	24879
475	22564	24839
476	22608	24789
477	22670	24757
478	22738	24732
479	22808	24709
480	22863	24669
481	22919	24631
482	22969	24586
483	23024	24546
484	23083	24511
485	23132	24465
486	23197	24435
487	23260	24404
488	23323	24372
489	23382	24337
490	23450	24309
491	23500	24265
492	23557	24226
493	23610	24184
494	23657	24135
495	23714	24096
496	23764	24051
497	23802	23993
498	23848	23943
499	23901	23901
500	23947	23852
501	24004	23813
502	24047	23760
503	24095	23712
504	24140	23662
505	24194	23620
506	24236	23567
507	24286	23521
508	24330	23470
509	24387	23431
510	24426	23374
511	24474	23327
512	24532	23289
513	24578	23239
514	24636	23201
515	24684	23153
516	24732	23105
517	24775	23053
518	24831	23013
519	24893	22978
520	24936	22925
521	24992	22885
522	25040	22837
523	25095	22796
524	25156	22760
525	25212	22719
526	25264	22675
527	25315	22630
528	25367	22585
529	25421	22543
530	25466	22493
531	25517	22447
532	25567	22401
533	25621	22358
534	25665	22307
535	25703	22251
536	25739	22192
537	25796	22152
538	25844	22104
539	25894	22058
540	25949	22016
541	25986	21958
542	26037	21913
543	26093	21872
544	26147	21829
545	26192	21778
546	26243	21733
547	26296	21690
548	26343	21640
549	26386	21588
550	26437	21543
551	26484	21494
552	26510	21428
553	26558	21381
554	26611	21337
555	26662	21291
556	26713	21246
557	26751	21190
558	26794	21138
559	26843	21091
560	26897	21048
561	26949	21003
562	26996	20954
563	27048	20909
564	27100	20864
565	27153	20821
566	27209	20778
567	27260	20732
568	27293	20674
569	27336	20622
570	27385	20575
571	27435	20528
572	27475	20474
573	27521	20425
574	27565	20374
575	27606	20321
576	27646	20268
577	27691	20217
578	27731	20164
579	27775	20113
580	27824	20066
581	27864	20012
582	27910	19963
583	27962	19918
584	28014	19873
585	28061	19825
586	28107	19775
587	28156	19728
588	28207	19682
589	28256	19635
590	28310	19592
591	28359	19545
592	28408	19497
593	28456	19450
594	28506	19403
595	28552	19354
596	28595	19303
597	28640	19253
598	28681	19200
599	28728	19152
600	28781	19107
601	28816	19051
602	28870	19007
603	28925	18964
604	28968	18913
605	29005	18858
606	29055	18811
607	29105	18765
608	29158	18720
609	29200	18668
610	29240	18616
611	29287	18567
612	29332	18518
613	29384	18473
614	29435	18426
615	29472	18372
616	29519	18323
617	29570	18278
618	29621	18232
619	29664	18181
620	29714	18134
621	29759	18085
622	29800	18033
623	29849	17986
624	29898	17939
625	29934	17884
626	29987	17839
627	30033	17790
628	30071	17736
629	30120	17689
630	30163	17639
631	30212	17592
632	30251	17539
633	30290	17486
634	30333	17435
635	30373	17383
636	30419	17334
637	30471	17289
638	30521	17242
639	30566	17193
640	30605	17141
641	30663	17098
642	30708	17049
643	30752	16999
644	30789	16946
645	30835	16897
646	30876	16845
647	30925	16799
648	30975	16752
649	31023	16705
650	31080	16662
651	31129	16615
652	31167	16562
653	31212	16512
654	31259	16465
655	31307	16417
656	31349	16366
657	31409	16325
658	31463	16280
659	31517	16236
660	31563	16187
661	31616	16142
662	31664	16094
663	31718	16050
664	31763	16001
665	31805	15950
666	31839	15895
667	31884	15846
668	31935	15800
669	31959	15741
670	32013	15696
671	32063	15649
672	32106	15599
673	32156	15553
674	32196	15502
675	32247	15455
676	32297	15409
677	32347	15362
678	32391	15313
679	32437	15264
680	32492	15220
681	32537	15171
682	32590	15126
683	32638	15078
684	32690	15033
685	32745	14988
686	32788	14938
687	32827	14886
688	32880	14841
689	32914	14787
690	32960	14739
691	32994	14685
692	33044	14638
693	33097	14593
694	33154	14549
695	33212	14506
696	33261	14459
697	33310	14412
698	33357	14364
699	33398	14313
700	33443	14264
701	33495	14218
702	33537	14168
703	33586	14121
704	33632	14072
705	33679	14025
706	33725	13976
707	33780	13932
708	33820	13881
709	33876	13836
710	33912	13784
711	33963	13738
712	34014	13691
713	34056	13641
714	34108	13595
715	34152	13546
716	34198	13498
717	34251	13452
718	34296	13403
719	34362	13363
720	34407	13314
721	34452	13265
722	34495	13216
723	34546	13169
724	34598	13123
725	34647	13076
726	34693	13028
727	34748	12982
728	34798	12935
729	34844	12887
730	34889	12838
731	34938	12791
732	34993	12746
733	35047	12701
734	35100	12655
735	35167	12614
736	35225	12570
737	35287	12527
738	35344	12482
739	35401	12438
740	35456	12392
741	35495	12342
742	35557	12299
743	35626	12258
744	35678	12212
745	35721	12162
746	35770	12114
747	35820	12068
748	35867	12019
749	35921	11973
750	35967	11925
751	36020	11879
752	36060	11828
753	36112	11782
754	36158	11733
755	36198	11683
756	36246	11635
757	36282	11583
758	36345	11540
759	36398	11494
760	36452	11448
761	36499	11400
762	36554	11354
763	36603	11306
764	36648	11258
765	36695	11209
766	36738	11160
767	36791	11114
768	36839	11066
769	36880	11016
770	36935	10970
771	36977	10920
772	37033	10875
773	37089	10829
774	37124	10777
775	37171	10730
776	37219	10682
777	37257	10631
778	37315	10586
779	37370	10540
780	37417	10492
781	37476	10447
782	37533	10401
783	37586	10355
784	37638	10308
785	37693	10262
786	37737	10213
787	37783	10165
788	37821	10114
789	37871	10067
790	37919	10019
791	37964	9970
792	38014	9922
793	38071	9877
794	38118	9829
795	38176	9783
796	38224	9735
797	38271	9687
798	38319	9639
799	38372	9593
800	38422	9545
801	38471	9497
802	38515	9449
803	38559	9400
804	38606	9351
805	38656	9304
806	38707	9257
807	38748	9207
808	38796	9159
809	38833	9109
810	38879	9060
811	38935	9014
812	38985	8967
813	39030	8918
814	39074	8869
815	39129	8823
816	39172	8774
817	39230	8728
818	39281	8681
819	39342	8636
820	39395	8589
821	39454	8543
822	39500	8495
823	39540	8445
824	39586	8397
825	39631	8348
826	39684	8301
827	39714	8249
828	39770	8203
829	39827	8157
830	39878	8110
831	39916	8060
832	39973	8013
833	40019	7965
834	40063	7916
835	40113	7869
836	40159	7820
837	40202	7771
838	40253	7724
839	40298	7675
840	40344	7627
841	40390	7579
842	40439	7531
843	40485	7483
844	40545	7437
845	40579	7386
846	40625	7338
847	40670	7290
848	40721	7242
849	40765	7193
850	40812	7145
851	40856	7097
852	40898	7048
853	40936	6998
854	40993	6952
855	41040	6904
856	41083	6855
857	41140	6808
858	41195	6761
859	41243	6714
860	41294	6666
861	41333	6617
862	41394	6571
863	41442	6523
864	41492	6475
865	41546	6428
866	41599	6381
867	41644	6333
868	41692	6284
869	41727	6235
870	41771	6186
871	41810	6137
872	41857	6089
873	41898	6040
874	41950	5992
875	42002	5945
876	42050	5897
877	42106	5850
878	42141	5800
879	42190	5753
880	42241	5705
881	42289	5657
882	42339	5610
883	42387	5562
884	42433	5513
885	42482	5466
886	42521	5417
887	42565	5368
888	42607	5319
889	42656	5272
890	42706	5224
891	42753	5176
892	42806	5129
893	42856	5081
894	42913	5034
895	42976	4988
896	43027	4940
897	43074	4892
898	43127	4845
899	43181	4797
900	43234	4750
901	43288	4703
902	43340	4655
903	43395	4608
904	43437	4559
905	43494	4512
906	43545	4464
907	43577	4415
908	43631	4367
909	43689	4320
910	43745	4273
911	43800	4226
912	43856	4179
913	43904	4131
914	43961	4083
915	44011	4036
916	44071	3989
917	44118	3940
918	44169	3893
919	44222	3845
920	44272	3797
921	44312	3748
922	44370	3701
923	44420	3653
924	44467	3605
925	44520	3557
926	44564	3509
927	44618	3461
928	44660	3413
929	44702	3364
930	44750	3316
931	44804	3269
932	44864	3221
933	44909	3173
934	44961	3125
935	45008	3077
936	45055	3029
937	45108	2981
938	45147	2932
939	45200	2885
940	45252	2837
941	45301	2789
942	45355	2741
943	45400	2693
944	45450	2645
945	45501	2597
946	45550	2549
947	45594	2500
948	45638	2452
949	45691	2404
950	45735	2356
951	45783	2308
952	45834	2260
953	45882	2212
954	45928	2164
955	45980	2116
956	46034	2068
957	46081	2020
958	46141	1972
959	46195	1924
960	46238	1876
961	46279	1828
962	46332	1780
963	46374	1731
964	46404	1683
965	46459	1635
966	46501	1586
967	46565	1539
968	46624	1491
969	46671	1443
970	46726	1395
971	46770	1347
972	46829	1299
973	46894	1251
974	46945	1203
975	47002	1155
976	47051	1107
977	47107	1059
978	47164	1011
979	47222	963
980	47279	915
981	47324	867
982	47370	819
983	47418	771
984	47467	722
985	47515	674
986	47574	626
987	47618	578
988	47669	530
989	47717	481
990	47768	433
991	47825	385
992	47881	337
993	47937	289
994	47994	241
995	48044	192
996	48084	144
997	48124	96
998	48173	48
999	48223	0
