iter	RMSE
0	4.03232577
1	3.091035941
2	2.499109753
3	2.148419772
4	1.940398282
5	1.788313572
6	1.697829185
7	1.645145826
8	1.612848424
9	1.58842661
10	1.569341998
11	1.5561024
12	1.547580294
13	1.539358391
14	1.533927588
15	1.523616874
16	1.518965148
17	1.514582528
18	1.50901846
19	1.503701139
20	1.500310317
21	1.496410126
22	1.496380418
23	1.495134249
24	1.490274984
25	1.488665405
26	1.48696591
27	1.484592567
28	1.480896203
29	1.478750846
30	1.477191181
31	1.474754607
32	1.473092213
33	1.470871974
34	1.467770229
35	1.463614249
36	1.461713161
37	1.461685824
38	1.458444682
39	1.456701271
40	1.453934692
41	1.451885391
42	1.449947911
43	1.449241368
44	1.446249128
45	1.444350644
46	1.442182008
47	1.439940297
48	1.439256605
49	1.4361917
50	1.433627919
51	1.432567449
52	1.430332147
53	1.428562557
54	1.425916185
55	1.423839186
56	1.421414293
57	1.419509777
58	1.417626574
59	1.416724337
60	1.413908151
61	1.41302581
62	1.411820518
63	1.409973807
64	1.407581938
65	1.405763014
66	1.404397098
67	1.404393763
68	1.403257455
69	1.402008718
70	1.400264957
71	1.400263263
72	1.39957433
73	1.397786885
74	1.396280277
75	1.395020372
76	1.393337367
77	1.392013844
78	1.391366195
79	1.389898852
80	1.38851616
81	1.386513773
82	1.386513277
83	1.384932283
84	1.383786446
85	1.381563145
86	1.380495832
87	1.380494656
88	1.379462907
89	1.378329827
90	1.377177227
91	1.376581334
92	1.375240823
93	1.374653175
94	1.374149335
95	1.374148971
96	1.37330028
97	1.373300234
98	1.372215347
99	1.371690038
100	1.371686214
101	1.371685714
102	1.370626015
103	1.369413314
104	1.369413086
105	1.368113836
106	1.366963858
107	1.366463534
108	1.366460472
109	1.365851356
110	1.364788408
111	1.363715933
112	1.36281461
113	1.361721553
114	1.361417757
115	1.3609042
116	1.360421106
117	1.359274082
118	1.358834061
119	1.358496621
120	1.358061635
121	1.357173395
122	1.355917674
123	1.35481495
124	1.354293126
125	1.354293126
126	1.354293034
127	1.353885151
128	1.353885013
129	1.352375341
130	1.352294129
131	1.352293944
132	1.352292513
133	1.351125604
134	1.349813053
135	1.349812914
136	1.349377812
137	1.348680293
138	1.347837568
139	1.347145369
140	1.346594052
141	1.34599218
142	1.345991345
143	1.344850306
144	1.34463464
145	1.343821065
146	1.343547378
147	1.343544032
148	1.343016388
149	1.342187086
150	1.341965641
151	1.340851816
152	1.340263018
153	1.3399175
154	1.339545978
155	1.339188246
156	1.338916643
157	1.338151244
158	1.337669502
159	1.33711792
160	1.336684665
161	1.336069264
162	1.335515244
163	1.335334167
164	1.335333887
165	1.334422751
166	1.334421862
167	1.333723122
168	1.333655803
169	1.333091928
170	1.3324647
171	1.332176588
172	1.331664273
173	1.330959394
174	1.330132479
175	1.329854003
176	1.329851186
177	1.329694224
178	1.329327124
179	1.329327218
180	1.328731341
181	1.328611419
182	1.328335115
183	1.327822493
184	1.326503923
185	1.32595443
186	1.324778554
187	1.324777611
188	1.324776951
189	1.324529922
190	1.323984892
191	1.323838695
192	1.32321614
193	1.322472577
194	1.322116128
195	1.321273283
196	1.320983581
197	1.319922154
198	1.318949817
199	1.318091068
200	1.31748101
201	1.317135725
202	1.316332949
203	1.315736358
204	1.314228044
205	1.314035624
206	1.313555827
207	1.31278482
208	1.312247663
209	1.311161545
210	1.311161497
211	1.310473223
212	1.310185327
213	1.30987487
214	1.309746118
215	1.309443377
216	1.309064827
217	1.308664317
218	1.30853664
219	1.308523852
220	1.30802633
221	1.308022034
222	1.308022129
223	1.308020697
224	1.30772911
225	1.307203583
226	1.307203201
227	1.306973727
228	1.30670704
229	1.306252848
230	1.305426783
231	1.305341599
232	1.305083715
233	1.305082806
234	1.304955783
235	1.304650638
236	1.304650111
237	1.304644416
238	1.304343362
239	1.304172319
240	1.304172224
241	1.303897445
242	1.30345971
243	1.30345904
244	1.303458417
245	1.303111668
246	1.302761281
247	1.302627177
248	1.302517363
249	1.301836941
250	1.301273337
251	1.301108609
252	1.301108369
253	1.300689328
254	1.299954926
255	1.299797332
256	1.299522493
257	1.299218186
258	1.299091455
259	1.298909482
260	1.298428087
261	1.298427751
262	1.298144253
263	1.298143051
264	1.298029298
265	1.29775394
266	1.29775394
267	1.297451528
268	1.297444936
269	1.297438968
270	1.296979124
271	1.296978161
272	1.295791699
273	1.295333921
274	1.295263497
275	1.295048396
276	1.295046034
277	1.295042177
278	1.294566241
279	1.294565614
280	1.294545598
281	1.294261106
282	1.294260382
283	1.294258115
284	1.294258163
285	1.294088538
286	1.294088586
287	1.293818615
288	1.293592124
289	1.293341746
290	1.293339187
291	1.293272807
292	1.292854849
293	1.292219734
294	1.291779251
295	1.291364532
296	1.291076824
297	1.291074841
298	1.291019081
299	1.290913116
300	1.290580849
301	1.290166664
302	1.289616697
303	1.289345111
304	1.288636464
305	1.288635689
306	1.288246566
307	1.288243949
308	1.288241138
309	1.288241187
310	1.288240944
311	1.288241041
312	1.288241041
313	1.287947885
314	1.287947739
315	1.28785592
316	1.287732871
317	1.287730204
318	1.287587504
319	1.287376649
320	1.286785848
321	1.286783373
322	1.28659767
323	1.286597281
324	1.286253123
325	1.286253317
326	1.286252492
327	1.285719643
328	1.285719692
329	1.285484246
330	1.285274989
331	1.285124825
332	1.284939903
333	1.28482984
334	1.284623296
335	1.284460467
336	1.284404031
337	1.284403885
338	1.284308118
339	1.284307875
340	1.28420189
341	1.283672471
342	1.283666196
343	1.28366537
344	1.283409893
345	1.283180397
346	1.282838437
347	1.282838193
348	1.282738853
349	1.282737929
350	1.282626411
351	1.282626119
352	1.281907913
353	1.281907718
354	1.281864272
355	1.281821653
356	1.281821507
357	1.281821458
358	1.281501888
359	1.281377059
360	1.281366924
361	1.280843986
362	1.280843254
363	1.280778567
364	1.28033678
365	1.280114342
366	1.280114147
367	1.280114098
368	1.280113513
369	1.280113074
370	1.280112928
371	1.28008815
372	1.279895622
373	1.279895622
374	1.279707796
375	1.279605335
376	1.279075526
377	1.278850818
378	1.278848133
379	1.278848035
380	1.278848328
381	1.27884286
382	1.27881464
383	1.278814494
384	1.278814201
385	1.278814299
386	1.278814103
387	1.278812932
388	1.278443626
389	1.278019597
390	1.277990578
391	1.277983787
392	1.277889933
393	1.277818939
394	1.277816349
395	1.277816252
396	1.277814444
397	1.277813857
398	1.277772276
399	1.27777208
400	1.277771934
401	1.277771836
402	1.277219171
403	1.27719292
404	1.276912971
405	1.276912727
406	1.276817474
407	1.276811557
408	1.276811459
409	1.276807107
410	1.276496162
411	1.276192969
412	1.276192969
413	1.276122419
414	1.27611733
415	1.275922001
416	1.275921071
417	1.275902769
418	1.275867829
419	1.275867878
420	1.275867829
421	1.275867732
422	1.275776805
423	1.275131568
424	1.275130344
425	1.275130393
426	1.275130148
427	1.275128777
428	1.275128532
429	1.275128386
430	1.275128092
431	1.275127945
432	1.27506757
433	1.274307672
434	1.273614189
435	1.273149564
436	1.272345387
437	1.271457764
438	1.270767934
439	1.270753096
440	1.270692956
441	1.270688828
442	1.270388181
443	1.270269043
444	1.270268993
445	1.269885207
446	1.269867064
447	1.269864704
448	1.269864704
449	1.269848184
450	1.269782149
451	1.269325124
452	1.269139523
453	1.268899425
454	1.268898884
455	1.268567052
456	1.268044744
457	1.26804302
458	1.26804302
459	1.268041789
460	1.268041396
461	1.268041346
462	1.268040411
463	1.26804046
464	1.268040263
465	1.267862402
466	1.267862156
467	1.267862451
468	1.267861565
469	1.267766715
470	1.267764203
471	1.26776445
472	1.267759623
473	1.267759426
474	1.267759525
475	1.267695056
476	1.26769481
477	1.267694958
478	1.267694071
479	1.267693972
480	1.267694022
481	1.267458084
482	1.267458183
483	1.267158001
484	1.266981445
485	1.266784904
486	1.266784756
487	1.266784411
488	1.266705796
489	1.266681791
490	1.266363824
491	1.266363627
492	1.266363775
493	1.266363528
494	1.266363479
495	1.266363627
496	1.265937623
497	1.265745408
498	1.26574526
499	1.265745161
500	1.265731843
501	1.265731054
502	1.265474423
503	1.26522154
504	1.265121113
505	1.265107837
506	1.264789968
507	1.26478982
508	1.263810488
509	1.263430423
510	1.263279244
511	1.263278849
512	1.263278899
513	1.263278849
514	1.263278899
515	1.263200806
516	1.263200806
517	1.263200658
518	1.263200658
519	1.263058054
520	1.263053605
521	1.263053308
522	1.262967095
523	1.262704612
524	1.262510223
525	1.262080247
526	1.261705747
527	1.261529567
528	1.261256142
529	1.261255003
530	1.261251389
531	1.261154062
532	1.261040884
533	1.261040488
534	1.260675881
535	1.260582868
536	1.260577123
537	1.260577173
538	1.260574498
539	1.260574349
540	1.260542254
541	1.260542204
542	1.260400388
543	1.260400388
544	1.260400339
545	1.2602971
546	1.260297249
547	1.260296506
548	1.260296308
549	1.260176265
550	1.260159617
551	1.260158874
552	1.260120772
553	1.260120624
554	1.260120326
555	1.260119781
556	1.260112052
557	1.260054724
558	1.260054724
559	1.259765713
560	1.259762739
561	1.259704701
562	1.259703115
563	1.259703165
564	1.259619052
565	1.259618556
566	1.259618457
567	1.259618506
568	1.259618457
569	1.259597143
570	1.259596895
571	1.259596597
572	1.259548416
573	1.259547573
574	1.259547474
575	1.259547226
576	1.259492103
577	1.259490666
578	1.259470688
579	1.259470737
580	1.259470638
581	1.259470589
582	1.259470737
583	1.259470688
584	1.259470589
585	1.259470341
586	1.259422006
587	1.259422006
588	1.259421907
589	1.259421956
590	1.258801965
591	1.258767543
592	1.258767493
593	1.258767443
594	1.258767146
595	1.258763872
596	1.258763525
597	1.258763376
598	1.258763376
599	1.258618086
600	1.258325024
601	1.258325024
602	1.258325024
603	1.258324975
604	1.258198293
605	1.258198193
606	1.258197747
607	1.258196159
608	1.25819601
609	1.25788101
610	1.257880812
611	1.257880861
612	1.25788101
613	1.257880911
614	1.257880812
615	1.257880911
616	1.257877337
617	1.257877039
618	1.257877288
619	1.257871927
620	1.257871728
621	1.257784018
622	1.257783174
623	1.257515736
624	1.257515736
625	1.257458289
626	1.25745819
627	1.257283699
628	1.257283798
629	1.257283848
630	1.257282159
631	1.257282159
632	1.256693705
633	1.256556971
634	1.256220984
635	1.256126696
636	1.256126249
637	1.25612615
638	1.2561261
639	1.255806206
640	1.255655154
641	1.255655054
642	1.255655104
643	1.255655253
644	1.255654905
645	1.255654855
646	1.255654756
647	1.255654756
648	1.255654557
649	1.255654557
650	1.255654607
651	1.255654706
652	1.255654706
653	1.255654656
654	1.255415362
655	1.255415312
656	1.255415114
657	1.255415064
658	1.25446823
659	1.254466837
660	1.254466787
661	1.254427169
662	1.254420997
663	1.254420847
664	1.254420997
665	1.2541625
666	1.2541625
667	1.254111272
668	1.254111222
669	1.253875916
670	1.253875766
671	1.253875617
672	1.253875468
673	1.253832295
674	1.25368997
675	1.253661034
676	1.253660835
677	1.253660636
678	1.253374535
679	1.253374435
680	1.253306337
681	1.253305191
682	1.253289499
683	1.2532893
684	1.253139937
685	1.253139738
