iter	Passed	Remaining
0	70	141287
1	86	86731
2	106	70753
3	125	62442
4	153	61078
5	180	59873
6	206	58823
7	233	58069
8	259	57308
9	285	56794
10	311	56412
11	336	55771
12	362	55443
13	388	55121
14	414	54809
15	440	54667
16	468	54629
17	497	54766
18	521	54329
19	545	54022
20	569	53713
21	595	53530
22	605	52012
23	631	51988
24	665	52555
25	688	52308
26	713	52118
27	741	52197
28	772	52536
29	800	52535
30	835	53062
31	864	53195
32	888	52974
33	917	53035
34	943	52991
35	970	52968
36	997	52938
37	1008	52069
38	1038	52216
39	1064	52172
40	1089	52071
41	1117	52107
42	1144	52093
43	1168	51934
44	1193	51856
45	1218	51774
46	1244	51716
47	1271	51715
48	1298	51692
49	1329	51859
50	1359	51971
51	1385	51902
52	1412	51881
53	1439	51858
54	1465	51837
55	1494	51877
56	1519	51795
57	1546	51791
58	1571	51697
59	1598	51691
60	1626	51708
61	1658	51839
62	1684	51781
63	1712	51789
64	1744	51920
65	1773	51978
66	1800	51957
67	1815	51569
68	1845	51650
69	1876	51747
70	1902	51699
71	1912	51200
72	1938	51159
73	1963	51111
74	1990	51096
75	2015	51026
76	2041	50988
77	2067	50951
78	2094	50927
79	2122	50930
80	2149	50922
81	2176	50899
82	2185	50474
83	2215	50541
84	2241	50506
85	2268	50482
86	2295	50473
87	2304	50067
88	2340	50248
89	2365	50196
90	2393	50200
91	2421	50228
92	2451	50263
93	2480	50297
94	2506	50260
95	2515	49895
96	2541	49856
97	2549	49490
98	2576	49466
99	2604	49477
100	2615	49185
101	2625	48851
102	2651	48825
103	2677	48820
104	2687	48504
105	2713	48485
106	2740	48480
107	2769	48525
108	2780	48241
109	2807	48243
110	2834	48232
111	2860	48223
112	2884	48172
113	2909	48130
114	2935	48117
115	2963	48129
116	2994	48198
117	3024	48241
118	3054	48287
119	3082	48289
120	3107	48251
121	3131	48204
122	3156	48173
123	3182	48155
124	3208	48133
125	3218	47875
126	3227	47605
127	3252	47564
128	3261	47302
129	3287	47287
130	3305	47161
131	3314	46903
132	3323	46650
133	3347	46620
134	3374	46615
135	3389	46455
136	3415	46440
137	3445	46485
138	3472	46496
139	3499	46497
140	3526	46490
141	3557	46541
142	3568	46346
143	3599	46396
144	3627	46407
145	3654	46412
146	3681	46407
147	3696	46250
148	3721	46227
149	3744	46182
150	3771	46182
151	3806	46281
152	3838	46341
153	3866	46353
154	3893	46345
155	3918	46324
156	3946	46331
157	3974	46330
158	3998	46302
159	4025	46295
160	4050	46267
161	4075	46240
162	4104	46259
163	4135	46296
164	4148	46140
165	4173	46110
166	4186	45955
167	4211	45927
168	4238	45920
169	4263	45896
170	4291	45899
171	4316	45878
172	4342	45862
173	4369	45849
174	4395	45843
175	4427	45880
176	4443	45769
177	4474	45796
178	4501	45790
179	4510	45608
180	4542	45649
181	4568	45631
182	4593	45605
183	4619	45594
184	4646	45582
185	4671	45562
186	4696	45534
187	4710	45405
188	4727	45295
189	4751	45265
190	4775	45231
191	4799	45195
192	4825	45179
193	4850	45155
194	4875	45127
195	4901	45113
196	4929	45117
197	4954	45090
198	4979	45066
199	5008	45078
200	5036	45076
201	5069	45121
202	5097	45121
203	5124	45119
204	5156	45150
205	5182	45135
206	5207	45106
207	5232	45078
208	5256	45048
209	5283	45036
210	5301	44948
211	5326	44920
212	5356	44939
213	5385	44943
214	5409	44909
215	5437	44909
216	5465	44903
217	5491	44889
218	5517	44871
219	5530	44746
220	5566	44811
221	5581	44701
222	5590	44552
223	5607	44459
224	5634	44446
225	5659	44423
226	5672	44306
227	5699	44299
228	5724	44273
229	5751	44260
230	5777	44243
231	5802	44219
232	5827	44197
233	5841	44087
234	5866	44058
235	5891	44034
236	5902	43909
237	5913	43782
238	5938	43757
239	5964	43741
240	5973	43596
241	5997	43566
242	6021	43535
243	6037	43447
244	6049	43335
245	6074	43309
246	6106	43335
247	6132	43321
248	6158	43305
249	6185	43295
250	6216	43319
251	6241	43296
252	6254	43186
253	6280	43175
254	6308	43168
255	6335	43158
256	6361	43141
257	6388	43136
258	6416	43129
259	6442	43115
260	6469	43107
261	6479	42985
262	6504	42958
263	6515	42844
264	6541	42829
265	6566	42804
266	6574	42674
267	6608	42709
268	6629	42660
269	6643	42568
270	6670	42559
271	6683	42457
272	6709	42447
273	6736	42433
274	6760	42408
275	6785	42384
276	6798	42287
277	6812	42195
278	6842	42205
279	6854	42104
280	6873	42048
281	6897	42022
282	6912	41936
283	6924	41838
284	6935	41732
285	6959	41708
286	6969	41596
287	6995	41583
288	7021	41567
289	7050	41572
290	7074	41545
291	7090	41473
292	7120	41486
293	7148	41480
294	7195	41588
295	7220	41565
296	7246	41549
297	7258	41455
298	7283	41437
299	7313	41445
300	7340	41431
301	7365	41412
302	7397	41428
303	7426	41433
304	7456	41438
305	7468	41346
306	7496	41339
307	7508	41247
308	7531	41218
309	7541	41114
310	7552	41014
311	7563	40920
312	7575	40831
313	7600	40808
314	7612	40719
315	7631	40670
316	7657	40654
317	7671	40579
318	7698	40565
319	7725	40556
320	7751	40545
321	7772	40501
322	7797	40486
323	7810	40403
324	7838	40398
325	7848	40304
326	7865	40240
327	7891	40227
328	7901	40131
329	7929	40128
330	7957	40125
331	7983	40109
332	8009	40095
333	8036	40084
334	8061	40065
335	8085	40041
336	8109	40019
337	8120	39927
338	8144	39906
339	8155	39819
340	8197	39880
341	8227	39887
342	8240	39810
343	8251	39724
344	8280	39722
345	8306	39706
346	8337	39719
347	8349	39634
348	8374	39616
349	8386	39536
350	8416	39539
351	8427	39457
352	8455	39450
353	8468	39376
354	8493	39355
355	8508	39290
356	8529	39253
357	8543	39185
358	8567	39163
359	8593	39148
360	8612	39102
361	8653	39154
362	8665	39076
363	8692	39070
364	8719	39058
365	8747	39050
366	8759	38975
367	8770	38896
368	8785	38831
369	8800	38767
370	8810	38687
371	8832	38653
372	8857	38637
373	8866	38547
374	8890	38525
375	8916	38512
376	8944	38506
377	8968	38482
378	8983	38422
379	8994	38345
380	9004	38261
381	9017	38192
382	9042	38177
383	9051	38093
384	9065	38027
385	9075	37947
386	9084	37865
