iter	RMSE
0	4.032699818
1	3.092045896
2	2.501083338
3	2.146663111
4	1.944015531
5	1.795761746
6	1.697829444
7	1.644877018
8	1.613740585
9	1.590118277
10	1.576856308
11	1.566529628
12	1.555155218
13	1.550784518
14	1.543301073
15	1.535293568
16	1.531574908
17	1.527107449
18	1.523241338
19	1.516990751
20	1.514460685
21	1.510591139
22	1.505412015
23	1.50136446
24	1.495826195
25	1.493470063
26	1.490752331
27	1.488069244
28	1.484395561
29	1.481160157
30	1.476096959
31	1.475922261
32	1.475904494
33	1.472560382
34	1.47253808
35	1.472527056
36	1.471067435
37	1.466718424
38	1.464798634
39	1.461378954
40	1.458987906
41	1.455371489
42	1.453221567
43	1.4505449
44	1.446768472
45	1.444973757
46	1.442101862
47	1.439542792
48	1.436427041
49	1.434650419
50	1.432967844
51	1.431287872
52	1.429271439
53	1.427758896
54	1.426182279
55	1.426180966
56	1.42477356
57	1.424773297
58	1.422953429
59	1.422046991
60	1.419981777
61	1.418049039
62	1.417308809
63	1.41570953
64	1.414990888
65	1.414539427
66	1.413317334
67	1.41169907
68	1.409981757
69	1.407533252
70	1.405944479
71	1.404234311
72	1.402807913
73	1.401468051
74	1.400492027
75	1.399027004
76	1.397602796
77	1.395611375
78	1.393543096
79	1.392578106
80	1.391435442
81	1.391435128
82	1.389947353
83	1.389310075
84	1.388135576
85	1.386565058
86	1.385746872
87	1.385744169
88	1.385040993
89	1.3841404
90	1.382947425
91	1.381708008
92	1.380182877
93	1.379503841
94	1.378614848
95	1.377689887
96	1.377149582
97	1.376592874
98	1.375566385
99	1.374951141
100	1.3740642
101	1.37385385
102	1.372780288
103	1.371723363
104	1.371031622
105	1.370036057
106	1.369311501
107	1.368398091
108	1.367447637
109	1.367017973
110	1.366457548
111	1.365961892
112	1.365258908
113	1.364988609
114	1.364986094
115	1.364403053
116	1.364401909
117	1.363720051
118	1.362914034
119	1.362913164
120	1.361386285
121	1.360194239
122	1.360098668
123	1.36009775
124	1.35954476
125	1.359544622
126	1.359544438
127	1.359544438
128	1.359544438
129	1.358183778
130	1.356551339
131	1.356550188
132	1.356549636
133	1.355087419
134	1.35508705
135	1.355086451
136	1.355086129
137	1.355086083
138	1.354463425
139	1.354463057
140	1.354462918
141	1.354462965
142	1.354462826
143	1.35408571
144	1.353715776
145	1.353715914
146	1.353715776
147	1.352907259
148	1.351485868
149	1.350758341
150	1.350758017
151	1.350757832
152	1.350757647
153	1.350677773
154	1.349396363
155	1.348795798
156	1.347903041
157	1.347482389
158	1.347482389
159	1.346784501
160	1.345909662
161	1.345652133
162	1.345100399
163	1.343850978
164	1.3438507
165	1.343367431
166	1.343367338
167	1.342886684
168	1.342409719
169	1.341841343
170	1.341280966
171	1.340683332
172	1.340489076
173	1.340489076
174	1.340488936
175	1.33982888
176	1.339828088
177	1.339827249
178	1.338893399
179	1.338892979
180	1.338892839
181	1.338005048
182	1.338005188
183	1.338005048
184	1.338005094
185	1.338005094
186	1.337782027
187	1.337782074
188	1.337781934
189	1.336541695
190	1.335809675
191	1.335225771
192	1.334722118
193	1.334629308
194	1.334264321
195	1.334264087
196	1.333512744
197	1.333135415
198	1.332758635
199	1.332594194
200	1.331772714
201	1.331684903
202	1.330747309
203	1.330744166
204	1.330092183
205	1.330091056
206	1.330089366
207	1.329751821
208	1.329751915
209	1.329459604
210	1.32945951
211	1.329459557
212	1.32945951
213	1.329209363
214	1.329096157
215	1.329096345
216	1.329014651
217	1.328870185
218	1.328637878
219	1.328277402
220	1.32798801
221	1.327622373
222	1.32762242
223	1.327289422
224	1.325886573
225	1.325054527
226	1.325054668
227	1.325054574
228	1.324512879
229	1.324265381
230	1.324264627
231	1.324074658
232	1.323391412
233	1.323391035
234	1.323390799
235	1.322861402
236	1.322858665
237	1.322479854
238	1.322323578
239	1.32232353
240	1.321469208
241	1.321016034
242	1.321015373
243	1.321003415
244	1.320914084
245	1.320913943
246	1.320906427
247	1.320672956
248	1.320355843
249	1.320355606
250	1.320355323
251	1.320345865
252	1.320237952
253	1.319690495
254	1.319690212
255	1.319576709
256	1.318851936
257	1.318851936
258	1.318450712
259	1.318450428
260	1.318450381
261	1.318449339
262	1.31809394
263	1.318081198
264	1.317692911
265	1.317284983
266	1.316431991
267	1.316420798
268	1.316420466
269	1.316420324
270	1.316420324
271	1.316181313
272	1.316181218
273	1.316179747
274	1.315617551
275	1.314985844
276	1.314430832
277	1.314181578
278	1.313369213
279	1.313369213
280	1.313364411
281	1.313364316
282	1.313364364
283	1.313321008
284	1.313320913
285	1.313293054
286	1.312924086
287	1.31292361
288	1.31292342
289	1.312923325
290	1.312922992
291	1.31292323
292	1.31292323
293	1.312775946
294	1.312749693
295	1.312749645
296	1.312749788
297	1.312145392
298	1.311905079
299	1.311545907
300	1.311118209
301	1.311094589
302	1.311094637
303	1.311094542
304	1.310813503
305	1.310333439
306	1.309374549
307	1.309374597
308	1.308048764
309	1.308048716
310	1.308007619
311	1.308007714
312	1.306804434
313	1.306804338
314	1.306517789
315	1.306124726
316	1.306124391
317	1.306124391
318	1.305466569
319	1.3045902
320	1.303534026
321	1.303529188
322	1.303241966
323	1.303238277
324	1.302919749
325	1.302719622
326	1.30231942
327	1.302038501
328	1.301675647
329	1.301483437
330	1.301482765
331	1.301482382
332	1.301436087
333	1.301435608
334	1.301433497
335	1.301433017
336	1.301433113
337	1.301432681
338	1.301064284
339	1.301064092
340	1.300878366
341	1.300094187
342	1.300091882
343	1.300091786
344	1.300091786
345	1.299880033
346	1.299879504
347	1.299879312
348	1.299875278
349	1.299856065
350	1.29958057
351	1.299299924
352	1.299025994
353	1.299024744
354	1.299024456
355	1.299024071
356	1.299021572
357	1.29860874
358	1.298175962
359	1.298175626
360	1.298175337
361	1.298175048
362	1.298175096
363	1.298174952
364	1.298174952
365	1.29817476
366	1.298174135
367	1.298174038
368	1.297492986
369	1.296950225
370	1.296948685
371	1.29662447
372	1.296238811
373	1.296238522
374	1.295969052
375	1.29584875
376	1.295848605
377	1.295342559
378	1.295342559
379	1.295342656
380	1.295342608
381	1.295342415
382	1.295342463
383	1.295342415
384	1.295342463
385	1.295342463
386	1.295342559
387	1.295342608
388	1.295342656
389	1.295342608
390	1.295342559
391	1.295342463
392	1.295342559
393	1.295342463
394	1.295342463
395	1.295342511
396	1.295342463
397	1.295342415
398	1.295342029
399	1.295186287
400	1.295017749
401	1.294666142
402	1.294276233
403	1.294109556
404	1.294109604
405	1.294106902
406	1.293436451
407	1.292672197
408	1.292665
409	1.292664904
410	1.292665
411	1.292664952
412	1.292663213
413	1.29266302
414	1.292373625
415	1.292250041
416	1.29224806
417	1.292248108
418	1.292248012
419	1.29224806
420	1.292187761
421	1.292187085
422	1.292181432
423	1.29218119
424	1.291924357
425	1.291924308
426	1.291783669
427	1.291783669
428	1.291332261
429	1.291129468
430	1.290822075
431	1.290821495
432	1.290821253
433	1.290820963
434	1.290821011
435	1.290398249
436	1.29039554
437	1.290395346
438	1.290203246
439	1.290203004
440	1.290202278
441	1.290202326
442	1.290202423
443	1.289869542
444	1.289869397
445	1.289869058
446	1.289868332
447	1.289868139
448	1.289212191
449	1.288799657
450	1.288799172
451	1.288793989
452	1.288272814
453	1.288272377
454	1.288159499
455	1.288159257
456	1.288156834
457	1.287565042
458	1.287562812
459	1.28754681
460	1.287546761
461	1.28754681
462	1.287252869
463	1.28725253
464	1.28725253
465	1.287252336
466	1.286725247
467	1.286718211
468	1.286707197
469	1.286707148
470	1.286707197
471	1.2867071
472	1.28651042
473	1.286510226
474	1.286510032
475	1.286509159
476	1.286304246
477	1.286304343
478	1.286304246
479	1.286304295
480	1.286304197
481	1.285557267
482	1.285557315
483	1.285557073
484	1.285557267
485	1.285541094
486	1.285541143
487	1.285541191
488	1.285541143
489	1.285540317
490	1.285491797
491	1.285491846
492	1.285491797
493	1.285491895
494	1.285491846
495	1.285491846
496	1.285491895
497	1.285284682
498	1.284725344
499	1.284724858
500	1.284725101
501	1.284724129
502	1.284724275
503	1.284703718
504	1.284703572
505	1.284703426
506	1.284699636
507	1.284699393
508	1.284699393
509	1.284699101
510	1.284492928
511	1.284049849
512	1.283611335
513	1.28350622
514	1.283506025
515	1.283477276
516	1.283477276
517	1.283476401
518	1.282865124
519	1.282576245
520	1.28210499
521	1.282104795
522	1.281667954
523	1.28067478
524	1.280674439
525	1.280673902
526	1.280673756
527	1.280673561
528	1.280673415
529	1.280673415
530	1.280673366
531	1.280673171
532	1.280673366
533	1.280589559
534	1.280589413
535	1.280128206
536	1.280127328
537	1.280127328
538	1.280127376
539	1.280127425
540	1.280127084
541	1.280127181
542	1.280036315
543	1.279373472
544	1.27936991
545	1.279370007
546	1.279370007
547	1.279369763
548	1.279361516
549	1.279361614
550	1.279228427
551	1.279228231
552	1.278932281
553	1.278931061
554	1.27893111
555	1.278925203
556	1.278924422
557	1.278924471
558	1.278924373
559	1.278706185
560	1.278705941
561	1.278673568
562	1.278271699
563	1.278271553
564	1.277667511
565	1.277665556
566	1.277524471
567	1.277524324
568	1.27752452
569	1.277397104
570	1.277337327
571	1.277336935
572	1.277336789
573	1.27733542
574	1.277077312
575	1.276579183
576	1.276425846
577	1.276425602
578	1.276425406
579	1.276425357
580	1.275845595
581	1.275822399
582	1.275263855
583	1.275079807
584	1.274888484
585	1.274790632
586	1.274475036
587	1.274474987
588	1.274474791
589	1.274474938
590	1.27447484
591	1.27447484
592	1.274474791
593	1.274472096
594	1.274472047
595	1.274472096
596	1.27414128
597	1.274089386
598	1.274089386
599	1.274089337
600	1.27408919
601	1.274089141
602	1.27408919
603	1.274089141
604	1.27408919
605	1.273647885
606	1.27318789
607	1.272993977
608	1.272868463
609	1.27246898
610	1.272315541
611	1.272315492
612	1.270384467
613	1.270384418
614	1.270375522
615	1.270375227
616	1.27037508
617	1.270374834
618	1.270236822
619	1.270234217
620	1.27000195
621	1.269994674
622	1.269885629
623	1.269413795
624	1.269413746
625	1.269413549
626	1.269413549
627	1.269413549
628	1.269128347
629	1.269128445
630	1.269127953
631	1.268807652
632	1.268805191
633	1.268761051
634	1.268724931
635	1.268625177
636	1.268624537
637	1.268023482
638	1.267764463
639	1.267751757
640	1.267751412
641	1.267750083
642	1.267551693
643	1.267551349
644	1.267549428
645	1.267549428
646	1.267110919
647	1.267090175
648	1.266921054
649	1.266916422
650	1.266916274
651	1.266661563
652	1.266661465
653	1.266661169
654	1.266661021
655	1.26665693
656	1.266611631
657	1.266611729
658	1.266611483
659	1.266478878
660	1.265995959
661	1.265678269
662	1.265639101
663	1.265380433
664	1.265380186
665	1.264554887
666	1.264277231
667	1.264255946
668	1.264255897
669	1.264090348
670	1.264090447
671	1.264075728
672	1.264075728
673	1.264075136
674	1.264075037
675	1.264074938
676	1.264068517
677	1.264012406
678	1.264012357
679	1.264012209
680	1.264012357
681	1.263858385
682	1.263857595
683	1.263828695
684	1.263828597
685	1.263698417
686	1.263696737
687	1.26359708
688	1.263596833
689	1.263385338
690	1.263385486
691	1.263383213
692	1.263269149
693	1.262750294
694	1.262750146
695	1.262749899
696	1.262576092
697	1.262576042
698	1.262575795
699	1.262575696
700	1.262575894
701	1.262575795
702	1.262575795
703	1.262575746
704	1.262575696
705	1.262575746
706	1.262575746
707	1.262575053
708	1.262575053
709	1.262574954
710	1.262575004
711	1.262574954
712	1.262574954
713	1.262574954
714	1.262574954
715	1.262574954
716	1.262575053
717	1.262575103
718	1.262574954
719	1.262477137
720	1.262477039
721	1.262323473
722	1.262322187
723	1.262321099
724	1.262320308
725	1.262317093
726	1.262317142
727	1.262317043
728	1.262316994
729	1.262316994
730	1.262316845
731	1.262316845
732	1.261919762
733	1.261919564
734	1.261919614
735	1.261916398
736	1.261916447
737	1.261916299
738	1.26191615
739	1.261916002
740	1.261915705
741	1.261915359
742	1.261915359
743	1.26191521
744	1.261915359
745	1.261825407
746	1.261825308
747	1.261825259
748	1.261516318
749	1.260934008
750	1.260933909
751	1.260933661
752	1.260856911
753	1.26085493
754	1.260854682
755	1.260854534
756	1.260712706
757	1.260691857
758	1.260691758
759	1.260691708
760	1.260691708
761	1.260648027
762	1.260647928
763	1.260648076
764	1.260648076
765	1.260647977
766	1.26064763
767	1.260647531
768	1.260534904
769	1.260535003
770	1.26028792
771	1.260070568
772	1.26007032
773	1.260070171
774	1.26006809
775	1.26006809
776	1.26006819
777	1.260066009
778	1.260065861
779	1.25980694
780	1.259806544
781	1.259806544
782	1.259805949
783	1.259805701
784	1.259806048
785	1.2598059
786	1.259805652
787	1.259805701
788	1.259805454
789	1.259805008
790	1.259799259
791	1.259798515
792	1.259798267
793	1.259798069
794	1.259798119
795	1.259798119
796	1.259798069
797	1.259798119
798	1.25979802
799	1.259798069
800	1.259790288
801	1.259789594
802	1.259789297
803	1.259318588
804	1.259281354
805	1.2591213
