iter	Passed	Remaining
0	15	30487
1	30	30397
2	43	29261
3	72	36260
4	98	39183
5	123	41191
6	156	44444
7	181	45272
8	207	45897
9	231	46110
10	257	46505
11	281	46605
12	306	46815
13	329	46729
14	353	46795
15	378	46939
16	403	47103
17	427	47059
18	452	47162
19	478	47374
20	505	47654
21	530	47731
22	561	48250
23	585	48209
24	611	48275
25	634	48209
26	659	48190
27	683	48146
28	708	48160
29	732	48126
30	758	48146
31	773	47559
32	783	46712
33	812	46993
34	823	46216
35	833	45473
36	860	45640
37	892	46088
38	918	46182
39	945	46322
40	970	46391
41	1001	46681
42	1027	46770
43	1052	46767
44	1077	46815
45	1105	46970
46	1130	46971
47	1157	47055
48	1183	47103
49	1211	47266
50	1236	47240
51	1266	47462
52	1292	47464
53	1319	47536
54	1344	47531
55	1352	46956
56	1377	46957
57	1387	46442
58	1411	46437
59	1436	46460
60	1461	46461
61	1487	46498
62	1512	46505
63	1537	46515
64	1561	46476
65	1586	46476
66	1611	46490
67	1641	46633
68	1666	46627
69	1691	46647
70	1716	46636
71	1743	46697
72	1771	46753
73	1800	46851
74	1830	46972
75	1860	47090
76	1891	47232
77	1925	47456
78	1953	47511
79	1977	47471
80	2003	47475
81	2013	47084
82	2039	47096
83	2064	47079
84	2089	47081
85	2115	47085
86	2141	47077
87	2152	46765
88	2176	46732
89	2206	46825
90	2229	46780
91	2254	46760
92	2279	46749
93	2304	46731
94	2329	46705
95	2354	46702
96	2379	46685
97	2405	46685
98	2430	46676
99	2455	46658
100	2481	46649
101	2506	46649
102	2531	46625
103	2557	46620
104	2585	46667
105	2609	46633
106	2638	46684
107	2671	46796
108	2697	46803
109	2723	46797
110	2748	46767
111	2773	46752
112	2799	46746
113	2824	46730
114	2834	46458
115	2863	46511
116	2873	46240
117	2898	46229
118	2930	46314
119	2944	46126
120	2969	46120
121	2995	46110
122	3020	46095
123	3031	45859
124	3056	45847
125	3067	45630
126	3076	45376
127	3086	45133
128	3094	44882
129	3119	44868
130	3144	44859
131	3153	44625
132	3161	44384
133	3191	44445
134	3201	44231
135	3210	44006
136	3220	43796
137	3229	43577
138	3255	43583
139	3264	43365
140	3273	43154
141	3282	42950
142	3299	42841
143	3326	42870
144	3353	42905
145	3362	42701
146	3372	42508
147	3398	42527
148	3423	42528
149	3448	42537
150	3457	42342
151	3467	42154
152	3476	41967
153	3501	41973
154	3527	41988
155	3553	42003
156	3578	42011
157	3605	42028
158	3615	41863
159	3641	41876
160	3666	41878
161	3690	41874
162	3716	41883
163	3746	41937
164	3755	41766
165	3780	41768
166	3789	41594
167	3814	41595
168	3838	41587
169	3862	41583
170	3888	41588
171	3913	41589
172	3942	41640
173	3957	41526
174	3966	41363
175	3992	41378
176	4006	41261
177	4018	41128
178	4043	41133
179	4053	40988
180	4062	40831
181	4091	40872
182	4103	40741
183	4114	40609
184	4124	40462
185	4134	40318
186	4159	40330
187	4169	40190
188	4182	40081
189	4210	40108
190	4237	40131
191	4266	40172
192	4293	40195
193	4322	40240
194	4350	40269
195	4359	40123
196	4388	40166
197	4420	40233
198	4448	40256
199	4472	40255
200	4499	40270
201	4524	40271
202	4551	40293
203	4564	40189
204	4589	40188
205	4601	40073
206	4614	39973
207	4655	40109
208	4666	39989
209	4691	39989
210	4700	39857
211	4710	39724
212	4720	39607
213	4746	39611
214	4772	39624
215	4787	39542
216	4818	39590
217	4849	39638
218	4880	39687
219	4907	39704
220	4934	39717
221	4960	39729
222	4972	39625
223	5003	39670
224	5029	39678
225	5055	39682
226	5070	39601
227	5082	39498
228	5107	39497
229	5136	39531
230	5149	39434
231	5175	39438
232	5207	39493
233	5218	39385
234	5228	39267
235	5254	39274
236	5267	39187
237	5297	39216
238	5327	39250
239	5344	39196
240	5376	39241
241	5407	39281
242	5419	39188
243	5434	39108
244	5460	39115
